Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA3036,A1,PCR,2,8,2,FatP6.1,,,,
RA3037,B1,PCR,2,8,2,FatP6.1,,,,
RA3038,C1,PCR,2,8,2,FatP6.1,Positive control ,,,
EMPTY FOR JANET,D1,PCR,2,8,2,FatP6.1,Negative control,,,
RA3039,E1,PCR,2,8,2,FatP6.1,,,,
RA3040,F1,PCR,2,8,2,FatP6.1,,,,
RA3041,G1,PCR,2,8,2,FatP6.1,,,,
RA3042,H1,PCR,2,8,2,FatP6.1,,,,
RA3043,A2,PCR,2,8,2,FatP6.1,,,,
RA3044,B2,PCR,2,8,2,FatP6.1,,,,
RA3045,C2,PCR,2,8,2,FatP6.1,,,,
RA3046,D2,PCR,2,8,2,FatP6.1,,,,
RA3047,E2,PCR,2,8,2,FatP6.1,,,,
RA3048,F2,PCR,2,8,2,FatP6.1,,,,
RA3049,G2,PCR,2,8,2,FatP6.1,,,,
RA3050,H2,PCR,2,8,2,FatP6.1,,,,
RA3051,A3,PCR,2,8,2,FatP6.1,,,,
RA3052,B3,PCR,2,8,2,FatP6.1,,,,
RA3053,C3,PCR,2,8,2,FatP6.1,,,,
RA3054,D3,PCR,2,8,2,FatP6.1,,,,
RA3055,E3,PCR,2,8,2,FatP6.1,,,,
RA3056,F3,PCR,2,8,2,FatP6.1,,,,
RA3057,G3,PCR,2,8,2,FatP6.1,,,,
RA3058,H3,PCR,2,8,2,FatP6.1,,,,
RA3059,A4,PCR,2,8,2,FatP6.1,,,,
RA3060,B4,PCR,2,8,2,FatP6.1,,,,
RA3061,C4,PCR,2,8,2,FatP6.1,,,,
RA3062,D4,PCR,2,8,2,FatP6.1,,,,
RA3063,E4,PCR,2,8,2,FatP6.1,,,,
RA3064,F4,PCR,2,8,2,FatP6.1,,,,
RA3065,G4,PCR,2,8,2,FatP6.1,,,,
RA3066,H4,PCR,2,8,2,FatP6.1,,,,
RA3067,A5,PCR,2,8,2,FatP6.1,,,,
RA3068,B5,PCR,2,8,2,FatP6.1,,,,
RA3069,C5,PCR,2,8,2,FatP6.1,,,,
RA3070,D5,PCR,2,8,2,FatP6.1,,,,
RA3071,E5,PCR,2,8,2,FatP6.1,,,,
RA3072,F5,PCR,2,8,2,FatP6.1,,,,
RA3073,G5,PCR,2,8,2,FatP6.1,,,,
RA3074,H5,PCR,2,8,2,FatP6.1,,,,
RA3075,A6,PCR,2,8,2,FatP6.1,,,,
RA3076,B6,PCR,2,8,2,FatP6.1,,,,
RA3077,C6,PCR,2,8,2,FatP6.1,,,,
RA3078,D6,PCR,2,8,2,FatP6.1,,,,
RA3079,E6,PCR,2,8,2,FatP6.1,,,,
RA3080,F6,PCR,2,8,2,FatP6.1,,,,
RA3081,G6,PCR,2,8,2,FatP6.1,,,,
RA3082,H6,PCR,2,8,2,FatP6.1,,,,
RA3083,A7,PCR,2,8,2,FatP6.1,,,,
RA3084,B7,PCR,2,8,2,FatP6.1,,,,
RA3085,C7,PCR,2,8,2,FatP6.1,,,,
RA3086,D7,PCR,2,8,2,FatP6.1,,,,
RA3087,E7,PCR,2,8,2,FatP6.1,,,,
RA3088,F7,PCR,2,8,2,FatP6.1,,,,
RA3089,G7,PCR,2,8,2,FatP6.1,,,,
RA3090,H7,PCR,2,8,2,FatP6.1,,,,
RA3091,A8,PCR,2,8,2,FatP6.1,,,,
RA3092,B8,PCR,2,8,2,FatP6.1,,,,
RA3093,C8,PCR,2,8,2,FatP6.1,,,,
RA3094,D8,PCR,2,8,2,FatP6.1,,,,
RA3095,E8,PCR,2,8,2,FatP6.1,,,,
RA3096,F8,PCR,2,8,2,FatP6.1,,,,
RA3097,G8,PCR,2,8,2,FatP6.1,,,,
RA3098,H8,PCR,2,8,2,FatP6.1,,,,
RA3099,A9,PCR,2,8,2,FatP6.1,,,,
RA3100,B9,PCR,2,8,2,FatP6.1,,,,
RA3101,C9,PCR,2,8,2,FatP6.1,,,,
RA3102,D9,PCR,2,8,2,FatP6.1,,,,
RA3103,E9,PCR,2,8,2,FatP6.1,,,,
RA3104,F9,PCR,2,8,2,FatP6.1,,,,
RA3105,G9,PCR,2,8,2,FatP6.1,,,,
RA3106,H9,PCR,2,8,2,FatP6.1,,,,
RA3107,A10,PCR,2,8,2,FatP6.1,,,,
RA3108,B10,PCR,2,8,2,FatP6.1,,,,
