Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1521,A1,PCR,2,8,2,FatP6.1,Plate028,Positive control H2,,
EMPTY FOR JANET,B1,PCR,2,8,2,FatP6.1,Plate028,Negative control,,
RA1522,C1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1523,D1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1524,E1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1525,F1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1526,G1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1527,H1,PCR,2,8,2,FatP6.1,Plate028,,,
RA1528,A2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1529,B2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1530,C2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1531,D2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1532,E2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1533,F2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1534,G2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1535,H2,PCR,2,8,2,FatP6.1,Plate028,,,
RA1536,A3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1537,B3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1538,C3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1539,D3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1540,E3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1541,F3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1542,G3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1543,H3,PCR,2,8,2,FatP6.1,Plate028,,,
RA1544,A4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1545,B4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1546,C4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1547,D4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1548,E4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1549,F4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1550,G4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1551,H4,PCR,2,8,2,FatP6.1,Plate028,,,
RA1552,A5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1553,B5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1554,C5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1555,D5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1556,E5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1557,F5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1558,G5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1559,H5,PCR,2,8,2,FatP6.1,Plate028,,,
RA1560,A6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1561,B6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1562,C6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1563,D6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1564,E6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1565,F6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1566,G6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1567,H6,PCR,2,8,2,FatP6.1,Plate028,,,
RA1568,A7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1569,B7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1570,C7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1571,D7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1572,E7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1573,F7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1574,G7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1575,H7,PCR,2,8,2,FatP6.1,Plate028,,,
RA1576,A8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1577,B8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1578,C8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1579,D8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1580,E8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1581,F8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1582,G8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1583,H8,PCR,2,8,2,FatP6.1,Plate028,,,
RA1584,A9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1585,B9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1586,C9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1587,D9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1588,E9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1589,F9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1590,G9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1591,H9,PCR,2,8,2,FatP6.1,Plate028,,,
RA1592,A10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1593,B10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1594,C10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1595,D10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1596,E10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1597,F10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1598,G10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1599,H10,PCR,2,8,2,FatP6.1,Plate028,,,
RA1600,A11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1601,B11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1602,C11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1603,D11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1604,E11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1605,F11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1606,G11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1607,H11,PCR,2,8,2,FatP6.1,Plate028,,,
RA1608,A12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1609,B12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1610,C12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1611,D12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1612,E12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1613,F12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1614,G12,PCR,2,8,2,FatP6.1,Plate028,,,
RA1615,H12,PCR,2,8,2,FatP6.1,Plate028,,,
