Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA0476,A1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0477,B1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0478,C1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0479,D1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0480,E1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0481,F1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0482,G1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0483,H1,PCR,2,8,2,FatP6.1,Plate015,,,
RA0484,A2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0485,B2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0486,C2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0487,D2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0488,E2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0489,F2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0490,G2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0491,H2,PCR,2,8,2,FatP6.1,Plate015,,,
RA0492,A3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0493,B3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0494,C3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0495,D3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0496,E3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0497,F3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0498,G3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0499,H3,PCR,2,8,2,FatP6.1,Plate015,,,
RA0500,A4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0501,B4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0502,C4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0503,D4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0504,E4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0505,F4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0506,G4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0507,H4,PCR,2,8,2,FatP6.1,Plate015,,,
RA0508,A5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0509,B5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0510,C5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0511,D5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0512,E5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0513,F5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0514,G5,PCR,2,8,2,FatP6.1,Plate015,,,
RA0515,H5,PCR,2,8,2,FatP6.1,Plate015,,,
