Number,gDNA.Extraction.Plate,Well,,,,,,
3059,Plate022,G7,,FALSE,,,,
3050,Plate022,G8,,FALSE,,,,
3069,Plate022,G9,,FALSE,,,,
3058,Plate022,G10,,FALSE,,,,
2969,Plate022,G11,,FALSE,,,,
3180,Plate022,G12,,FALSE,,,,
3206,Plate022,H1,,FALSE,,,,
3161,Plate022,H2,,FALSE,,,,
3220,Plate022,H3,,FALSE,,,,
3213,Plate022,H4,,FALSE,,,,
3222,Plate022,H5,,FALSE,,,,
3170,Plate022,H6,,FALSE,,,,
3187,Plate022,H7,,FALSE,,,,
3174,Plate022,H8,,FALSE,,,,
3200,Plate022,H9,,FALSE,,,,
3183,Plate022,H10,,FALSE,,,,
3192,Plate022,H11,,FALSE,,,,
3219,Plate022,H12,,FALSE,,,,
3496,Plate023,A1,,FALSE,,,,
2508,Plate023,A2,,FALSE,,,,
3563,Plate023,A3,,FALSE,,,,
2924,Plate023,A4,,FALSE,,,,
2913,Plate023,A5,,FALSE,,,,
3590,Plate023,A6,,FALSE,,,,
3570,Plate023,A7,,FALSE,,,,
3495,Plate023,A8,,FALSE,,,,
3619,Plate023,A9,,FALSE,,,,
3519,Plate023,A10,,FALSE,,,,
2509,Plate023,A11,,FALSE,,,,
3577,Plate023,A12,,FALSE,,,,
3620,Plate023,B1,,FALSE,,,,
3515,Plate023,B2,,FALSE,,,,
3589,Plate023,B3,,FALSE,,,,
3561,Plate023,B4,,FALSE,,,,
3506,Plate023,B5,,FALSE,,,,
2921,Plate023,B6,,FALSE,,,,
3512,Plate023,B7,,FALSE,,,,
2533,Plate023,B8,,FALSE,,,,
3569,Plate023,B9,,FALSE,,,,
3582,Plate023,B10,,FALSE,,,,
3588,Plate023,B11,,FALSE,,,,
3523,Plate023,B12,,FALSE,,,,
2916,Plate023,C1,,FALSE,,,,
2919,Plate023,C2,,FALSE,,,,
3572,Plate023,C3,,FALSE,,,,
3518,Plate023,C4,,FALSE,,,,
3467,Plate023,C5,,FALSE,,,,
3369,Plate023,C6,,FALSE,,,,
3404,Plate023,C7,,FALSE,,,,
3396,Plate023,C8,,FALSE,,,,
3354,Plate023,C9,,FALSE,,,,
3387,Plate023,C10,,FALSE,,,,
3434,Plate023,C11,,FALSE,,,,
3395,Plate023,C12,,FALSE,,,,
3466,Plate023,D1,,FALSE,,,,
3372,Plate023,D2,,FALSE,,,,
3399,Plate023,D3,,FALSE,,,,
3400,Plate023,D4,,FALSE,,,,
3389,Plate023,D5,,FALSE,,,,
3435,Plate023,D6,,FALSE,,,,
3370,Plate023,D7,,FALSE,,,,
3357,Plate023,D8,,FALSE,,,,
3437,Plate023,D9,,FALSE,,,,
3353,Plate023,D10,,FALSE,,,,
3390,Plate023,D11,,FALSE,,,,
3360,Plate023,D12,,FALSE,,,,
3421,Plate023,E1,,FALSE,,,,
3381,Plate023,E2,,FALSE,,,,
3439,Plate023,E3,,FALSE,,,,
3198,Plate023,E4,,FALSE,,,,
3203,Plate023,E5,,FALSE,,,,
3184,Plate023,E6,,FALSE,,,,
3158,Plate023,E7,,FALSE,,,,
3185,Plate023,E8,duplicate,TRUE,3185 S6T3,,,
3207,Plate023,E9,,FALSE,,,,
3215,Plate023,E10,,FALSE,,,,
3186,Plate023,E11,,FALSE,,,,
3202,Plate023,E12,,FALSE,,,,
3191,Plate023,F1,,FALSE,,,,
3212,Plate023,F2,,FALSE,,,,
3151,Plate023,F3,,FALSE,,,,
3162,Plate023,F4,,FALSE,,,,
3194,Plate023,F5,,FALSE,,,,
3204,Plate023,F6,,FALSE,,,,
3155,Plate023,F7,,FALSE,,,,
3199,Plate023,F8,,FALSE,,,,
3178,Plate023,F9,,FALSE,,,,
3150,Plate023,F10,,FALSE,,,,
3179,Plate023,F11,,FALSE,,,,
3182,Plate023,F12,,FALSE,,,,
3214,Plate023,G1,,FALSE,,,,
3211,Plate023,G2,,FALSE,,,,
3208,Plate023,G3,,FALSE,,,,
3159,Plate023,G4,,FALSE,,,,
3157,Plate023,G5,,FALSE,,,,
3205,Plate023,G6,,FALSE,,,,
3256,Plate023,G7,duplicate,TRUE,3256 S6T3,,,
3217,Plate023,G8,,FALSE,,,,
3210,Plate023,G9,,FALSE,,,,
3153,Plate023,G10,,FALSE,,,,
3228,Plate023,G11,,FALSE,,,,
3177,Plate023,G12,,FALSE,,,,
3209,Plate023,H1,,FALSE,,,,
3195,Plate023,H2,,FALSE,,,,
3189,Plate023,H3,,FALSE,,,,
3181,Plate023,H4,,FALSE,,,,
3221,Plate023,H5,,FALSE,,,,
3230,Plate023,H6,,FALSE,,,,
3176,Plate023,H7,,FALSE,,,,
3166,Plate023,H8,,FALSE,,,,
3172,Plate023,H9,,FALSE,,,,
3218,Plate023,H10,,FALSE,,,,
3190,Plate023,H11,,FALSE,,,,
3164,Plate023,H12,,FALSE,,,,
3524,Plate024,A1,,FALSE,,,,
3510,Plate024,A2,,FALSE,,,,
3573,Plate024,A3,,FALSE,,,,
3566,Plate024,A4,,FALSE,,,,
3497,Plate024,A5,,FALSE,,,,
3580,Plate024,A6,,FALSE,,,,
2915,Plate024,A7,,FALSE,,,,
2545,Plate024,A8,,FALSE,,,,
3507,Plate024,A9,,FALSE,,,,
2918,Plate024,A10,,FALSE,,,,
3508,Plate024,A11,,FALSE,,,,
3513,Plate024,A12,,FALSE,,,,
3516,Plate024,B1,,FALSE,,,,
2914,Plate024,B2,,FALSE,,,,
3578,Plate024,B3,,FALSE,,,,
3586,Plate024,B4,,FALSE,,,,
2517,Plate024,B5,,FALSE,,,,
3583,Plate024,B6,,FALSE,,,,
3584,Plate024,B7,,FALSE,,,,
2917,Plate024,B8,,FALSE,,,,
3520,Plate024,B9,,FALSE,,,,
3574,Plate024,B10,,FALSE,,,,
3564,Plate024,B11,,FALSE,,,,
3501,Plate024,B12,,FALSE,,,,
2912,Plate024,C1,,FALSE,,,,
2540,Plate024,C2,,FALSE,,,,
3484,Plate024,C3,,FALSE,,,,
2926,Plate024,C4,,FALSE,,,,
3514,Plate024,C5,,FALSE,,,,
2920,Plate024,C6,,FALSE,,,,
3581,Plate024,C7,,FALSE,,,,
3517,Plate024,C8,,FALSE,,,,
3499,Plate024,C9,,FALSE,,,,
3504,Plate024,C10,,FALSE,,,,
2520,Plate024,C11,,FALSE,,,,
3674,Plate024,C12,,FALSE,,,,
3587,Plate024,D1,,FALSE,,,,
3509,Plate024,D2,,FALSE,,,,
3575,Plate024,D3,,FALSE,,,,
3618,Plate024,D4,,FALSE,,,,
3585,Plate024,D5,,FALSE,,,,
3568,Plate024,D6,,FALSE,,,,
3511,Plate024,D7,,FALSE,,,,
3505,Plate024,D8,duplicate,TRUE,3505 S12T2,,,
3493,Plate024,D9,,FALSE,,,,
3562,Plate024,D10,,FALSE,,,,
3576,Plate024,D11,,FALSE,,,,
3579,Plate024,D12,,FALSE,,,,
2925,Plate024,E1,,FALSE,,,,
3567,Plate024,E2,,FALSE,,,,
3571,Plate024,E3,,FALSE,,,,
3565,Plate024,E4,,FALSE,,,,
3498,Plate024,E5,,FALSE,,,,
2933,Plate024,E6,,FALSE,,,,
2927,Plate024,E7,,FALSE,,,,
2947,Plate024,E8,,FALSE,,,,
2598,Plate024,E9,,FALSE,,,,
2560,Plate024,E10,,FALSE,,,,
2567,Plate024,E11,,FALSE,,,,
2575,Plate024,E12,,FALSE,,,,
2562,Plate024,F1,,FALSE,,,,
2587,Plate024,F2,,FALSE,,,,
2946,Plate024,F3,,FALSE,,,,
2948,Plate024,F4,,FALSE,,,,
2951,Plate024,F5,,FALSE,,,,
2591,Plate024,F6,,FALSE,,,,
2576,Plate024,F7,,FALSE,,,,
2582,Plate024,F8,,FALSE,,,,
2574,Plate024,F9,,FALSE,,,,
2597,Plate024,F10,,FALSE,,,,
2564,Plate024,F11,,FALSE,,,,
2949,Plate024,F12,,FALSE,,,,
2950,Plate024,G1,,FALSE,,,,
2932,Plate024,G2,,FALSE,,,,
2475,Plate024,G3,,FALSE,,,,
2559,Plate024,G4,,FALSE,,,,
2577,Plate024,G5,,FALSE,,,,
2583,Plate024,G6,,FALSE,,,,
2585,Plate024,G7,,FALSE,,,,
2565,Plate024,G8,,FALSE,,,,
2930,Plate024,G9,,FALSE,,,,
2923,Plate024,G10,,FALSE,,,,
2952,Plate024,G11,,FALSE,,,,
2588,Plate024,G12,,FALSE,,,,
2584,Plate024,H1,,FALSE,,,,
2590,Plate024,H2,,FALSE,,,,
2600,Plate024,H3,,FALSE,,,,
2505,Plate024,H4,,FALSE,,,,
2455,Plate024,H5,,FALSE,,,,
2940,Plate024,H6,,FALSE,,,,
2939,Plate024,H7,,FALSE,,,,
2931,Plate024,H8,,FALSE,,,,
2573,Plate024,H9,,FALSE,,,,
2593,Plate024,H10,,FALSE,,,,
2599,Plate024,H11,,FALSE,,,,
2589,Plate024,H12,,FALSE,,,,
2881,Plate025,A1,,FALSE,,,,
2871,Plate025,A2,,FALSE,,,,
2830,Plate025,A3,,FALSE,,,,
2892,Plate025,A4,,FALSE,,,,
2741,Plate025,A5,,FALSE,,,,
2750,Plate025,A6,,FALSE,,,,
2745,Plate025,A7,,FALSE,,,,
2742,Plate025,A8,,FALSE,,,,
2736,Plate025,A9,,FALSE,,,,
2773,Plate025,A10,,FALSE,,,,
2778,Plate025,A11,,FALSE,,,,
2752,Plate025,A12,,FALSE,,,,
2756,Plate025,B1,,FALSE,,,,
2787,Plate025,B2,,FALSE,,,,
2776,Plate025,B3,,FALSE,,,,
2789,Plate025,B4,,FALSE,,,,
2751,Plate025,B5,,FALSE,,,,
2765,Plate025,B6,,FALSE,,,,
2761,Plate025,B7,,FALSE,,,,
2788,Plate025,B8,,FALSE,,,,
2766,Plate025,B9,,FALSE,,,,
2743,Plate025,B10,,FALSE,,,,
2749,Plate025,B11,,FALSE,,,,
2781,Plate025,B12,,FALSE,,,,
2772,Plate025,C1,,FALSE,,,,
2785,Plate025,C2,,FALSE,,,,
2740,Plate025,C3,,FALSE,,,,
2747,Plate025,C4,,FALSE,,,,
2783,Plate025,C5,,FALSE,,,,
2758,Plate025,C6,,FALSE,,,,
2748,Plate025,C7,,FALSE,,,,
2763,Plate025,C8,,FALSE,,,,
2790,Plate025,C9,,FALSE,,,,
2774,Plate025,C10,,FALSE,,,,
2777,Plate025,C11,,FALSE,,,,
2768,Plate025,C12,,FALSE,,,,
2784,Plate025,D1,,FALSE,,,,
2770,Plate025,D2,,FALSE,,,,
2739,Plate025,D3,,FALSE,,,,
2767,Plate025,D4,,FALSE,,,,
2744,Plate025,D5,,FALSE,,,,
2753,Plate025,D6,,FALSE,,,,
2775,Plate025,D7,,FALSE,,,,
2754,Plate025,D8,,FALSE,,,,
2779,Plate025,D9,,FALSE,,,,
2755,Plate025,D10,,FALSE,,,,
2757,Plate025,D11,,FALSE,,,,
2738,Plate025,D12,,FALSE,,,,
2771,Plate025,E1,,FALSE,,,,
2786,Plate025,E2,,FALSE,,,,
2746,Plate025,E3,,FALSE,,,,
2769,Plate025,E4,,FALSE,,,,
2782,Plate025,E5,,FALSE,,,,
2762,Plate025,E6,,FALSE,,,,
2760,Plate025,E7,,FALSE,,,,
2764,Plate025,E8,,FALSE,,,,
2780,Plate025,E9,,FALSE,,,,
2759,Plate025,E10,,FALSE,,,,
2586,Plate025,E11,,FALSE,,,,
2503,Plate025,E12,,FALSE,,,,
2594,Plate025,F1,,FALSE,,,,
2592,Plate025,F2,,FALSE,,,,
2570,Plate025,F3,,FALSE,,,,
2942,Plate025,F4,,FALSE,,,,
2944,Plate025,F5,,FALSE,,,,
2929,Plate025,F6,,FALSE,,,,
2934,Plate025,F7,,FALSE,,,,
2569,Plate025,F8,,FALSE,,,,
2596,Plate025,F9,,FALSE,,,,
2566,Plate025,F10,,FALSE,,,,
2561,Plate025,F11,,FALSE,,,,
2504,Plate025,F12,,FALSE,,,,
2945,Plate025,G1,,FALSE,,,,
2938,Plate025,G2,,FALSE,,,,
2941,Plate025,G3,,FALSE,,,,
2943,Plate025,G4,,FALSE,,,,
2579,Plate025,G5,,FALSE,,,,
2558,Plate025,G6,,FALSE,,,,
2568,Plate025,G7,,FALSE,,,,
2601,Plate025,G8,,FALSE,,,,
2563,Plate025,G9,,FALSE,,,,
2928,Plate025,G10,,FALSE,,,,
2953,Plate025,G11,,FALSE,,,,
2935,Plate025,G12,,FALSE,,,,
2922,Plate025,H1,,FALSE,,,,
2571,Plate025,H2,,FALSE,,,,
2581,Plate025,H3,,FALSE,,,,
2595,Plate025,H4,,FALSE,,,,
2580,Plate025,H5,,FALSE,,,,
2572,Plate025,H6,,FALSE,,,,
2911,Plate025,H7,,FALSE,,,,
2990,Plate025,H8,,FALSE,,,,
2955,Plate025,H9,,FALSE,,,,
2954,Plate025,H10,,FALSE,,,,
2460,Plate025,H11,,FALSE,,,,
2578,Plate025,H12,,FALSE,,,,
2715,Plate026,A1,,FALSE,,,,
2706,Plate026,A2,,FALSE,,,,
2727,Plate026,A3,,FALSE,,,,
2714,Plate026,A4,,FALSE,,,,
2721,Plate026,A5,,FALSE,,,,
2710,Plate026,A6,,FALSE,,,,
2702,Plate026,A7,,FALSE,,,,
2732,Plate026,A8,,FALSE,,,,
2719,Plate026,A9,,FALSE,,,,
2720,Plate026,A10,,FALSE,,,,
2733,Plate026,A11,,FALSE,,,,
2713,Plate026,A12,,FALSE,,,,
2708,Plate026,B1,,FALSE,,,,
2703,Plate026,B2,,FALSE,,,,
2711,Plate026,B3,,FALSE,,,,
2726,Plate026,B4,,FALSE,,,,
2534,Plate026,B5,,FALSE,,,,
2689,Plate026,B6,,FALSE,,,,
2724,Plate026,B7,,FALSE,,,,
2836,Plate026,B8,,FALSE,,,,
2844,Plate026,B9,,FALSE,,,,
2861,Plate026,B10,,FALSE,,,,
2875,Plate026,B11,,FALSE,,,,
2905,Plate026,B12,,FALSE,,,,
2845,Plate026,C1,,FALSE,,,,
2888,Plate026,C2,,FALSE,,,,
2898,Plate026,C3,,FALSE,,,,
2852,Plate026,C4,,FALSE,,,,
2899 backup,Plate026,C5,,FALSE,,,,
2840,Plate026,C6,,FALSE,,,,
2851,Plate026,C7,,FALSE,,,,
2869,Plate026,C8,,FALSE,,,,
2841,Plate026,C9,,FALSE,,,,
2883,Plate026,C10,,FALSE,,,,
2904,Plate026,C11,,FALSE,,,,
2886,Plate026,C12,,FALSE,,,,
2908,Plate026,D1,,FALSE,,,,
2839,Plate026,D2,,FALSE,,,,
2856,Plate026,D3,,FALSE,,,,
2889,Plate026,D4,,FALSE,,,,
2823,Plate026,D5,,FALSE,,,,
2867,Plate026,D6,,FALSE,,,,
2873,Plate026,D7,,FALSE,,,,
2897,Plate026,D8,,FALSE,,,,
2910,Plate026,D9,,FALSE,,,,
2854,Plate026,D10,,FALSE,,,,
2909,Plate026,D11,,FALSE,,,,
2822,Plate026,D12,,FALSE,,,,
2846,Plate026,E1,,FALSE,,,,
2862,Plate026,E2,,FALSE,,,,
2855,Plate026,E3,,TRUE,,,,
2843,Plate026,E4,,FALSE,,,,
2838,Plate026,E5,,FALSE,,,,
2907,Plate026,E6,,FALSE,,,,
2901,Plate026,E7,,FALSE,,,,
2891,Plate026,E8,,FALSE,,,,
2902,Plate026,E9,,FALSE,,,,
2864,Plate026,E10,,FALSE,,,,
2882,Plate026,E11,,FALSE,,,,
2826,Plate026,E12,,FALSE,,,,
2870,Plate026,F1,,FALSE,,,,
2906,Plate026,F2,,FALSE,,,,
2879,Plate026,F3,,FALSE,,,,
2857,Plate026,F4,,FALSE,,,,
2895,Plate026,F5,,FALSE,,,,
2853,Plate026,F6,,FALSE,,,,
2850,Plate026,F7,,FALSE,,,,
2878,Plate026,F8,,FALSE,,,,
2868,Plate026,F9,,FALSE,,,,
2837,Plate026,F10,,FALSE,,,,
2860 backup,Plate026,F11,,FALSE,,,,
2825,Plate026,F12,,FALSE,,,,
2827,Plate026,G1,,FALSE,,,,
2885,Plate026,G2,,FALSE,,,,
2880,Plate026,G3,,FALSE,,,,
2824,Plate026,G4,,FALSE,,,,
2877,Plate026,G5,,FALSE,,,,
2866,Plate026,G6,,FALSE,,,,
2887,Plate026,G7,,FALSE,,,,
2936,Plate026,G8,,FALSE,,,,
2828,Plate026,G9,,FALSE,,,,
2872,Plate026,G10,,FALSE,,,,
2848,Plate026,G11,,FALSE,,,,
2865,Plate026,G12,,FALSE,,,,
2847,Plate026,H1,,FALSE,,,,
2890,Plate026,H2,,FALSE,,,,
2863,Plate026,H3,,FALSE,,,,
2874,Plate026,H4,,FALSE,,,,
2829,Plate026,H5,,FALSE,,,,
2894,Plate026,H6,,FALSE,,,,
2893,Plate026,H7,,FALSE,,,,
2849,Plate026,H8,,FALSE,,,,
2896,Plate026,H9,,FALSE,,,,
2858,Plate026,H10,,FALSE,,,,
2884,Plate026,H11,,FALSE,,,,
2859,Plate026,H12,,FALSE,,,,
3447,Plate027,A1,,FALSE,,,,
3672,Plate027,A2,,FALSE,,,,
3482,Plate027,A3,,FALSE,,,,
3478,Plate027,A4,,FALSE,,,,
3488,Plate027,A5,,FALSE,,,,
3444,Plate027,A6,,FALSE,,,,
3666,Plate027,A7,,FALSE,,,,
3665,Plate027,A8,,FALSE,,,,
3459,Plate027,A9,,FALSE,,,,
3528,Plate027,A10,,FALSE,,,,
3476,Plate027,A11,,FALSE,,,,
3445,Plate027,A12,,FALSE,,,,
3461,Plate027,B1,,FALSE,,,,
3451,Plate027,B2,,FALSE,,,,
3474,Plate027,B3,,FALSE,,,,
3660,Plate027,B4,,FALSE,,,,
3462,Plate027,B5,,FALSE,,,,
3464,Plate027,B6,,FALSE,,,,
3446,Plate027,B7,,FALSE,,,,
3450,Plate027,B8,,FALSE,,,,
3456,Plate027,B9,,FALSE,,,,
3664,Plate027,B10,,FALSE,,,,
3653,Plate027,B11,,FALSE,,,,
3679,Plate027,B12,,FALSE,,,,
3460,Plate027,C1,,FALSE,,,,
3491,Plate027,C2,,FALSE,,,,
3670,Plate027,C3,,FALSE,,,,
3522,Plate027,C4,,FALSE,,,,
3680,Plate027,C5,,FALSE,,,,
3656,Plate027,C6,,FALSE,,,,
3457,Plate027,C7,,FALSE,,,,
3442,Plate027,C8,,FALSE,,,,
3655,Plate027,C9,,FALSE,,,,
3448,Plate027,C10,,FALSE,,,,
2805,Plate027,C11,,FALSE,,,,
2694,Plate027,C12,,FALSE,,,,
2802,Plate027,D1,,FALSE,,,,
2691,Plate027,D2,,FALSE,,,,
2800,Plate027,D3,,FALSE,,,,
2815,Plate027,D4,,FALSE,,,,
2814,Plate027,D5,,FALSE,,,,
2809,Plate027,D6,,FALSE,,,,
2792,Plate027,D7,,FALSE,,,,
2807,Plate027,D8,,FALSE,,,,
2696,Plate027,D9,,FALSE,,,,
2795,Plate027,D10,,FALSE,,,,
2820,Plate027,D11,,FALSE,,,,
2798,Plate027,D12,,FALSE,,,,
2819,Plate027,E1,,FALSE,,,,
2810,Plate027,E2,,FALSE,,,,
2803,Plate027,E3,,FALSE,,,,
2816,Plate027,E4,,FALSE,,,,
2804,Plate027,E5,,FALSE,,,,
2692,Plate027,E6,,FALSE,,,,
2797,Plate027,E7,,FALSE,,,,
2695,Plate027,E8,,FALSE,,,,
2813,Plate027,E9,,FALSE,,,,
2799,Plate027,E10,,FALSE,,,,
2735,Plate027,E11,,FALSE,,,,
2812,Plate027,E12,,FALSE,,,,
2821,Plate027,F1,,FALSE,,,,
2818,Plate027,F2,,FALSE,,,,
2811,Plate027,F3,,FALSE,,,,
2688,Plate027,F4,,FALSE,,,,
2728,Plate027,F5,,FALSE,,,,
2716,Plate027,F6,,FALSE,,,,
2707,Plate027,F7,,FALSE,,,,
2687,Plate027,F8,,FALSE,,,,
2718,Plate027,F9,,FALSE,,,,
2538,Plate027,F10,,FALSE,,,,
2536,Plate027,F11,,FALSE,,,,
2731,Plate027,F12,,FALSE,,,,
2537,Plate027,G1,,FALSE,,,,
2722,Plate027,G2,,FALSE,,,,
2535,Plate027,G3,,FALSE,,,,
2712,Plate027,G4,,FALSE,,,,
2528,Plate027,G5,,FALSE,,,,
2699,Plate027,G6,,FALSE,,,,
2725,Plate027,G7,,FALSE,,,,1
2697,Plate027,G8,,FALSE,,,,
2530,Plate027,G9,,FALSE,,,,
2730,Plate027,G10,,FALSE,,,,
2704,Plate027,G11,,FALSE,,,,
2705,Plate027,G12,,FALSE,,,,
2532,Plate027,H1,,FALSE,,,,
2690,Plate027,H2,,FALSE,,,,
2734,Plate027,H3,,FALSE,,,,
2700,Plate027,H4,,FALSE,,,,
2729,Plate027,H5,,FALSE,,,,
2698,Plate027,H6,,FALSE,,,,
2701,Plate027,H7,,FALSE,,,,
2686,Plate027,H8,,FALSE,,,,
2723,Plate027,H9,,FALSE,,,,
2717,Plate027,H10,,FALSE,,,,
2529,Plate027,H11,,FALSE,,,,
2709,Plate027,H12,,FALSE,,,,
3673,Plate028,A1,,FALSE,,,,
3471,Plate028,A2,,FALSE,,,,
3458,Plate028,A3,,FALSE,,,,
3651,Plate028,A4,,FALSE,,,,
3661,Plate028,A5,,FALSE,,,,
3449,Plate028,A6,,FALSE,,,,
3465,Plate028,A7,,FALSE,,,,
3657,Plate028,A8,,FALSE,,,,
3500,Plate028,A9,,FALSE,,,,
3671,Plate028,A10,,FALSE,,,,
3669,Plate028,A11,,FALSE,,,,
3455,Plate028,A12,,FALSE,,,,
3453,Plate028,B1,,FALSE,,,,
3441,Plate028,B2,,FALSE,,,,
3505,Plate028,B3,,TRUE,,,,
3502,Plate028,B4,,FALSE,,,,
3477,Plate028,B5,,FALSE,,,,
3659,Plate028,B6,,FALSE,,,,
3662,Plate028,B7,,FALSE,,,,
3486,Plate028,B8,,FALSE,,,,
3490,Plate028,B9,,FALSE,,,,
3654,Plate028,B10,,FALSE,,,,
3483,Plate028,B11,,FALSE,,,,
3527,Plate028,B12,,FALSE,,,,
3494,Plate028,C1,,FALSE,,,,
3526,Plate028,C2,,FALSE,,,,
3485,Plate028,C3,,FALSE,,,,
3676,Plate028,C4,,FALSE,,,,
3489,Plate028,C5,,FALSE,,,,
3487,Plate028,C6,,FALSE,,,,
3479,Plate028,C7,,FALSE,,,,
3675,Plate028,C8,,FALSE,,,,
3475,Plate028,C9,,FALSE,,,,
3658,Plate028,C10,,FALSE,,,,
3473,Plate028,C11,,FALSE,,,,
3529,Plate028,C12,,FALSE,,,,
3677,Plate028,D1,,FALSE,,,,
3463,Plate028,D2,,FALSE,,,,
3454,Plate028,D3,,FALSE,,,,
3503,Plate028,D4,,FALSE,,,,
3481,Plate028,D5,,FALSE,,,,
3652,Plate028,D6,,FALSE,,,,
3521,Plate028,D7,,FALSE,,,,
3678,Plate028,D8,,FALSE,,,,
3530,Plate028,D9,,FALSE,,,,
3525,Plate028,D10,,FALSE,,,,
3492,Plate028,D11,,FALSE,,,,
2081,Plate028,D12,,FALSE,,,,
2339,Plate028,E1,,FALSE,,,,
2345,Plate028,E2,,FALSE,,,,
2398,Plate028,E3,,FALSE,,,,
2432,Plate028,E4,,FALSE,,,,
2445,Plate028,E5,,FALSE,,,,
2426,Plate028,E6,,FALSE,,,,
2391,Plate028,E7,,FALSE,,,,
2425,Plate028,E8,,FALSE,,,,
2372,Plate028,E9,,FALSE,,,,
2363,Plate028,E10,,FALSE,,,,
2406,Plate028,E11,,FALSE,,,,
2389,Plate028,E12,,FALSE,,,,
2386,Plate028,F1,,FALSE,,,,
2442,Plate028,F2,,FALSE,,,,
2436,Plate028,F3,,FALSE,,,,
2410,Plate028,F4,,FALSE,,,,
2379,Plate028,F5,,FALSE,,,,
2364,Plate028,F6,,FALSE,,,,
2396,Plate028,F7,,FALSE,,,,
2326,Plate028,F8,,FALSE,,,,
2448,Plate028,F9,,FALSE,,,,
2387,Plate028,F10,,FALSE,,,,
2409,Plate028,F11,,FALSE,,,,
2427,Plate028,F12,,FALSE,,,,
2382,Plate028,G1,,FALSE,,,,
2388,Plate028,G2,,FALSE,,,,
2362,Plate028,G3,,FALSE,,,,
2376,Plate028,G4,,FALSE,,,,
2084,Plate028,G5,,FALSE,,,,
2366,Plate028,G6,,FALSE,,,,
2412,Plate028,G7,,FALSE,,,,
2430,Plate028,G8,,FALSE,,,,
2446,Plate028,G9,,FALSE,,,,
2401,Plate028,G10,,FALSE,,,,
2452,Plate028,G11,,FALSE,,,,
2420,Plate028,G12,,FALSE,,,,
2361,Plate028,H1,,FALSE,,,,
2404,Plate028,H2,,FALSE,,,,
2447,Plate028,H3,,FALSE,,,,
2377,Plate028,H4,,FALSE,,,,
2431,Plate028,H5,,FALSE,,,,
2433,Plate028,H6,,FALSE,,,,
2439,Plate028,H7,,FALSE,,,,
2392,Plate028,H8,,FALSE,,,,
2411,Plate028,H9,,FALSE,,,,
2332,Plate028,H10,,FALSE,,,,
2346,Plate028,H11,,FALSE,,,,
2449,Plate028,H12,,FALSE,,,,
2996,Plate029,A1,,FALSE,,,,
2471,Plate029,A2,,FALSE,,,,
2832,Plate029,A3,,FALSE,,,,
2967,Plate029,A4,,FALSE,,,,
2474,Plate029,A5,,FALSE,,,,
2994,Plate029,A6,,FALSE,,,,
2462,Plate029,A7,,FALSE,,,,
2459,Plate029,A8,,FALSE,,,,
2465,Plate029,A9,,FALSE,,,,
2473,Plate029,A10,,FALSE,,,,
2833,Plate029,A11,,FALSE,,,,
2490,Plate029,A12,,FALSE,,,,
2855,Plate029,B1,duplicate,TRUE,2855 S9T2,,,
2496,Plate029,B2,,FALSE,,,,
2498,Plate029,B3,,FALSE,,,,
2464,Plate029,B4,,FALSE,,,,
2501,Plate029,B5,,FALSE,,,,
2615,Plate029,B6,,FALSE,,,,
2494,Plate029,B7,,FALSE,,,,
2831,Plate029,B8,,FALSE,,,,
2457,Plate029,B9,,FALSE,,,,
2957,Plate029,B10,,FALSE,,,,
2999,Plate029,B11,,FALSE,,,,
2495,Plate029,B12,,FALSE,,,,
2605,Plate029,C1,,FALSE,,,,
2477,Plate029,C2,,FALSE,,,,
2617,Plate029,C3,,FALSE,,,,
2489,Plate029,C4,,FALSE,,,,
2487,Plate029,C5,,FALSE,,,,
2469,Plate029,C6,,FALSE,,,,
2602,Plate029,C7,,FALSE,,,,
2467,Plate029,C8,,FALSE,,,,
2614,Plate029,C9,,FALSE,,,,
2604,Plate029,C10,,FALSE,,,,
2480,Plate029,C11,,FALSE,,,,
2468,Plate029,C12,,FALSE,,,,
2483,Plate029,D1,,FALSE,,,,
2497,Plate029,D2,,FALSE,,,,
2493,Plate029,D3,,FALSE,,,,
2611,Plate029,D4,,FALSE,,,,
2456,Plate029,D5,,FALSE,,,,
2482,Plate029,D6,,FALSE,,,,
2472,Plate029,D7,,FALSE,,,,
2479,Plate029,D8,,FALSE,,,,
2608,Plate029,D9,,FALSE,,,,
2997,Plate029,D10,,FALSE,,,,
2616,Plate029,D11,,FALSE,,,,
2488,Plate029,D12,,FALSE,,,,
2492,Plate029,E1,,FALSE,,,,
2499,Plate029,E2,,FALSE,,,,
2610,Plate029,E3,,FALSE,,,,
2470,Plate029,E4,,FALSE,,,,
2484,Plate029,E5,,FALSE,,,,
2618,Plate029,E6,,FALSE,,,,
2607,Plate029,E7,duplicate,TRUE,2607 S9T2,,,
2476,Plate029,E8,,FALSE,,,,
2961,Plate029,E9,,FALSE,,,,
2603,Plate029,E10,,FALSE,,,,
2486,Plate029,E11,,FALSE,,,,
2506,Plate029,E12,,FALSE,,,,
2900,Plate029,F1,,FALSE,,,,
2903,Plate029,F2,,FALSE,,,,
2842,Plate029,F3,,FALSE,,,,
2876,Plate029,F4,,FALSE,,,,
2438,Plate029,F5,,FALSE,,,,
2397,Plate029,F6,,FALSE,,,,
2428,Plate029,F7,,FALSE,,,,
2380,Plate029,F8,,FALSE,,,,
