Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1236,A1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1237,B1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1238,C1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1239,D1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1240,E1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1241,F1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1242,G1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1243,H1,PCR,2,8,2,FatP6.1,Plate025,,,
RA1244,A2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1245,B2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1246,C2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1247,D2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1248,E2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1249,F2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1250,G2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1251,H2,PCR,2,8,2,FatP6.1,Plate025,,,
RA1252,A3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1253,B3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1254,C3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1255,D3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1256,E3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1257,F3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1258,G3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1259,H3,PCR,2,8,2,FatP6.1,Plate025,,,
RA1260,A4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1261,B4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1262,C4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1263,D4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1264,E4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1265,F4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1266,G4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1267,H4,PCR,2,8,2,FatP6.1,Plate025,,,
RA1268,A5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1269,B5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1270,C5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1271,D5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1272,E5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1273,F5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1274,G5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1275,H5,PCR,2,8,2,FatP6.1,Plate025,,,
RA1276,A6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1277,B6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1278,C6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1279,D6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1280,E6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1281,F6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1282,G6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1283,H6,PCR,2,8,2,FatP6.1,Plate025,,,
RA1284,A7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1285,B7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1286,C7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1287,D7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1288,E7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1289,F7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1290,G7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1291,H7,PCR,2,8,2,FatP6.1,Plate025,,,
RA1292,A8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1293,B8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1294,C8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1295,D8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1296,E8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1297,F8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1298,G8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1299,H8,PCR,2,8,2,FatP6.1,Plate025,,,
RA1300,A9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1301,B9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1302,C9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1303,D9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1304,E9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1305,F9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1306,G9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1307,H9,PCR,2,8,2,FatP6.1,Plate025,,,
RA1308,A10,PCR,2,8,2,FatP6.1,Plate025,,,
RA1309,B10,PCR,2,8,2,FatP6.1,Plate025,,,
RA1310,C10,PCR,2,8,2,FatP6.1,Plate025,,,
RA1311,D10,PCR,2,8,2,FatP6.1,Plate025,,,
RA1312,E10,PCR,2,8,2,FatP6.1,Plate025,,,
RA1313,F10,PCR,2,8,2,FatP6.1,Plate025,,,
