Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA0951,A1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0952,B1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0953,C1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0954,D1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0955,E1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0956,F1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0957,G1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0958,H1,PCR,2,8,2,FatP6.1,Plate022,,,
RA0959,A2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0960,B2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0961,C2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0962,D2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0963,E2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0964,F2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0965,G2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0966,H2,PCR,2,8,2,FatP6.1,Plate022,,,
RA0967,A3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0968,B3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0969,C3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0970,D3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0971,E3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0972,F3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0973,G3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0974,H3,PCR,2,8,2,FatP6.1,Plate022,,,
RA0975,A4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0976,B4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0977,C4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0978,D4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0979,E4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0980,F4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0981,G4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0982,H4,PCR,2,8,2,FatP6.1,Plate022,,,
RA0983,A5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0984,B5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0985,C5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0986,D5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0987,E5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0988,F5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0989,G5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0990,H5,PCR,2,8,2,FatP6.1,Plate022,,,
RA0991,A6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0992,B6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0993,C6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0994,D6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0995,E6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0996,F6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0997,G6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0998,H6,PCR,2,8,2,FatP6.1,Plate022,,,
RA0999,A7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1000,B7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1001,C7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1002,D7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1003,E7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1004,F7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1005,G7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1006,H7,PCR,2,8,2,FatP6.1,Plate022,,,
RA1007,A8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1008,B8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1009,C8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1010,D8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1011,E8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1012,F8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1013,G8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1014,H8,PCR,2,8,2,FatP6.1,Plate022,,,
RA1015,A9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1016,B9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1017,C9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1018,D9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1019,E9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1020,F9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1021,G9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1022,H9,PCR,2,8,2,FatP6.1,Plate022,,,
RA1023,A10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1024,B10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1025,C10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1026,D10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1027,E10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1028,F10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1029,G10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1030,H10,PCR,2,8,2,FatP6.1,Plate022,,,
RA1031,A11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1032,B11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1033,C11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1034,D11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1035,E11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1036,F11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1037,G11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1038,H11,PCR,2,8,2,FatP6.1,Plate022,,,
RA1039,A12,PCR,2,8,2,FatP6.1,Plate022,,,
RA1040,B12,PCR,2,8,2,FatP6.1,Plate022,,,
RA1041,C12,PCR,2,8,2,FatP6.1,Plate022,,,
RA1042,D12,PCR,2,8,2,FatP6.1,Plate022,,,
RA1043,E12,PCR,2,8,2,FatP6.1,Plate022,Positive control H2,,
EMPTY FOR JANET,F12,PCR,2,8,2,FatP6.1,Plate022,Negative control,,
RA1044,G12,PCR,2,8,2,FatP6.1,Plate022,,,
RA1045,H12,PCR,2,8,2,FatP6.1,Plate022,,,
