Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1996,A1,PCR,2,8,2,FatP6.1,Plate033,,,
RA1997,B1,PCR,2,8,2,FatP6.1,Plate033,,,
RA1998,C1,PCR,2,8,2,FatP6.1,Plate033,,,
RA1999,D1,PCR,2,8,2,FatP6.1,Plate033,,,
RA2000,E1,PCR,2,8,2,FatP6.1,Plate033,,,
RA2001,F1,PCR,2,8,2,FatP6.1,Plate033,,,
RA2002,G1,PCR,2,8,2,FatP6.1,Plate033,,,
RA2003,H1,PCR,2,8,2,FatP6.1,Plate033,,,
RA2004,A2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2005,B2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2006,C2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2007,D2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2008,E2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2009,F2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2010,G2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2011,H2,PCR,2,8,2,FatP6.1,Plate033,,,
RA2012,A3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2013,B3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2014,C3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2015,D3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2016,E3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2017,F3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2018,G3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2019,H3,PCR,2,8,2,FatP6.1,Plate033,,,
RA2020,A4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2021,B4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2022,C4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2023,D4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2024,E4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2025,F4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2026,G4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2027,H4,PCR,2,8,2,FatP6.1,Plate033,,,
RA2028,A5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2029,B5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2030,C5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2031,D5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2032,E5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2033,F5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2034,G5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2035,H5,PCR,2,8,2,FatP6.1,Plate033,,,
RA2036,A6,PCR,2,8,2,FatP6.1,Plate033,,,
RA2037,B6,PCR,2,8,2,FatP6.1,Plate033,,,
RA2038,C6,PCR,2,8,2,FatP6.1,Plate033,,,
RA2039,D6,PCR,2,8,2,FatP6.1,Plate033,,,
