Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1331,A1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1332,B1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1333,C1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1334,D1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1335,E1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1336,F1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1337,G1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1338,H1,PCR,2,8,2,FatP6.1,Plate026,,,
RA1339,A2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1340,B2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1341,C2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1342,D2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1343,E2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1344,F2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1345,G2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1346,H2,PCR,2,8,2,FatP6.1,Plate026,,,
RA1347,A3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1348,B3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1349,C3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1350,D3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1351,E3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1352,F3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1353,G3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1354,H3,PCR,2,8,2,FatP6.1,Plate026,,,
RA1355,A4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1356,B4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1357,C4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1358,D4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1359,E4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1360,F4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1361,G4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1362,H4,PCR,2,8,2,FatP6.1,Plate026,,,
RA1363,A5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1364,B5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1365,C5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1366,D5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1367,E5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1368,F5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1369,G5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1370,H5,PCR,2,8,2,FatP6.1,Plate026,,,
RA1371,A6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1372,B6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1373,C6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1374,D6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1375,E6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1376,F6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1377,G6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1378,H6,PCR,2,8,2,FatP6.1,Plate026,,,
RA1379,A7,PCR,2,8,2,FatP6.1,Plate026,,,
RA1380,B7,PCR,2,8,2,FatP6.1,Plate026,,,
RA1381,C7,PCR,2,8,2,FatP6.1,Plate026,,,
RA1382,D7,PCR,2,8,2,FatP6.1,Plate026,,,
RA1383,E7,PCR,2,8,2,FatP6.1,Plate026,,,
RA1384,F7,PCR,2,8,2,FatP6.1,Plate026,,,
