Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1141,A1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1142,B1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1143,C1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1144,D1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1145,E1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1146,F1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1147,G1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1148,H1,PCR,2,8,2,FatP6.1,Plate024,,,
RA1149,A2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1150,B2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1151,C2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1152,D2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1153,E2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1154,F2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1155,G2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1156,H2,PCR,2,8,2,FatP6.1,Plate024,,,
RA1157,A3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1158,B3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1159,C3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1160,D3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1161,E3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1162,F3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1163,G3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1164,H3,PCR,2,8,2,FatP6.1,Plate024,,,
RA1165,A4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1166,B4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1167,C4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1168,D4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1169,E4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1170,F4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1171,G4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1172,H4,PCR,2,8,2,FatP6.1,Plate024,,,
RA1173,A5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1174,B5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1175,C5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1176,D5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1177,E5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1178,F5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1179,G5,PCR,2,8,2,FatP6.1,Plate024,,,
RA1180,H5,PCR,2,8,2,FatP6.1,Plate024,,,
