Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1711,A1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1712,B1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1713,C1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1714,D1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1715,E1,PCR,2,8,2,FatP6.1,Plate030,Positive control H2,,
EMPTY FOR JANET,F1,PCR,2,8,2,FatP6.1,Plate030,Negative control,,
RA1716,G1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1717,H1,PCR,2,8,2,FatP6.1,Plate030,,,
RA1718,A2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1719,B2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1720,C2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1721,D2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1722,E2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1723,F2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1724,G2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1725,H2,PCR,2,8,2,FatP6.1,Plate030,,,
RA1726,A3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1727,B3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1728,C3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1729,D3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1730,E3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1731,F3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1732,G3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1733,H3,PCR,2,8,2,FatP6.1,Plate030,,,
RA1734,A4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1735,B4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1736,C4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1737,D4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1738,E4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1739,F4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1740,G4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1741,H4,PCR,2,8,2,FatP6.1,Plate030,,,
RA1742,A5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1743,B5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1744,C5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1745,D5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1746,E5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1747,F5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1748,G5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1749,H5,PCR,2,8,2,FatP6.1,Plate030,,,
RA1750,A6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1751,B6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1752,C6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1753,D6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1754,E6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1755,F6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1756,G6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1757,H6,PCR,2,8,2,FatP6.1,Plate030,,,
RA1758,A7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1759,B7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1760,C7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1761,D7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1762,E7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1763,F7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1764,G7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1765,H7,PCR,2,8,2,FatP6.1,Plate030,,,
RA1766,A8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1767,B8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1768,C8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1769,D8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1770,E8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1771,F8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1772,G8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1773,H8,PCR,2,8,2,FatP6.1,Plate030,,,
RA1774,A9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1775,B9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1776,C9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1777,D9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1778,E9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1779,F9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1780,G9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1781,H9,PCR,2,8,2,FatP6.1,Plate030,,,
RA1782,A10,PCR,2,8,2,FatP6.1,Plate030,,,
RA1783,B10,PCR,2,8,2,FatP6.1,Plate030,,,
RA1784,C10,PCR,2,8,2,FatP6.1,Plate030,,,
