Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA2091,A1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2092,B1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2093,C1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2094,D1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2095,E1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2096,F1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2097,G1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2098,H1,PCR,2,8,2,FatP6.1,Plate034,,,
RA2099,A2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2100,B2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2101,C2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2102,D2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2103,E2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2104,F2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2105,G2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2106,H2,PCR,2,8,2,FatP6.1,Plate034,,,
RA2107,A3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2108,B3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2109,C3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2110,D3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2111,E3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2112,F3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2113,G3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2114,H3,PCR,2,8,2,FatP6.1,Plate034,,,
RA2115,A4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2116,B4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2117,C4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2118,D4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2119,E4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2120,F4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2121,G4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2122,H4,PCR,2,8,2,FatP6.1,Plate034,,,
RA2123,A5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2124,B5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2125,C5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2126,D5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2127,E5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2128,F5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2129,G5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2130,H5,PCR,2,8,2,FatP6.1,Plate034,,,
RA2131,A6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2132,B6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2133,C6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2134,D6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2135,E6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2136,F6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2137,G6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2138,H6,PCR,2,8,2,FatP6.1,Plate034,,,
RA2139,A7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2140,B7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2141,C7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2142,D7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2143,E7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2144,F7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2145,G7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2146,H7,PCR,2,8,2,FatP6.1,Plate034,,,
RA2147,A8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2148,B8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2149,C8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2150,D8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2151,E8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2152,F8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2153,G8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2154,H8,PCR,2,8,2,FatP6.1,Plate034,,,
RA2155,A9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2156,B9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2157,C9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2158,D9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2159,E9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2160,F9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2161,G9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2162,H9,PCR,2,8,2,FatP6.1,Plate034,,,
RA2163,A10,PCR,2,8,2,FatP6.1,Plate034,,,
RA2164,B10,PCR,2,8,2,FatP6.1,Plate034,,,
RA2165,C10,PCR,2,8,2,FatP6.1,Plate034,,,
RA2166,D10,PCR,2,8,2,FatP6.1,Plate034,,,
