Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA2846,A1,PCR,2,8,2,FatP6.1,,,,
RA2847,B1,PCR,2,8,2,FatP6.1,,,,
RA2848,C1,PCR,2,8,2,FatP6.1,,,,
RA2849,D1,PCR,2,8,2,FatP6.1,,,,
RA2850,E1,PCR,2,8,2,FatP6.1,,,,
RA2851,F1,PCR,2,8,2,FatP6.1,,,,
RA2852,G1,PCR,2,8,2,FatP6.1,,,,
RA2853,H1,PCR,2,8,2,FatP6.1,,,,
RA2854,A2,PCR,2,8,2,FatP6.1,,,,
RA2855,B2,PCR,2,8,2,FatP6.1,,,,
RA2856,C2,PCR,2,8,2,FatP6.1,,,,
RA2857,D2,PCR,2,8,2,FatP6.1,,,,
RA2858,E2,PCR,2,8,2,FatP6.1,,,,
RA2859,F2,PCR,2,8,2,FatP6.1,,,,
RA2860,G2,PCR,2,8,2,FatP6.1,,,,
RA2861,H2,PCR,2,8,2,FatP6.1,,,,
RA2862,A3,PCR,2,8,2,FatP6.1,,,,
RA2863,B3,PCR,2,8,2,FatP6.1,,,,
RA2864,C3,PCR,2,8,2,FatP6.1,,,,
RA2865,D3,PCR,2,8,2,FatP6.1,,,,
RA2866,E3,PCR,2,8,2,FatP6.1,,,,
RA2867,F3,PCR,2,8,2,FatP6.1,,,,
RA2868,G3,PCR,2,8,2,FatP6.1,,,,
RA2869,H3,PCR,2,8,2,FatP6.1,,,,
RA2870,A4,PCR,2,8,2,FatP6.1,,,,
RA2871,B4,PCR,2,8,2,FatP6.1,,,,
RA2872,C4,PCR,2,8,2,FatP6.1,,,,
RA2873,D4,PCR,2,8,2,FatP6.1,,,,
RA2874,E4,PCR,2,8,2,FatP6.1,,,,
RA2875,F4,PCR,2,8,2,FatP6.1,,,,
RA2876,G4,PCR,2,8,2,FatP6.1,,,,
RA2877,H4,PCR,2,8,2,FatP6.1,,,,
RA2878,A5,PCR,2,8,2,FatP6.1,,,,
RA2879,B5,PCR,2,8,2,FatP6.1,,,,
RA2880,C5,PCR,2,8,2,FatP6.1,,,,
RA2881,D5,PCR,2,8,2,FatP6.1,,,,
RA2882,E5,PCR,2,8,2,FatP6.1,,,,
RA2883,F5,PCR,2,8,2,FatP6.1,,,,
RA2884,G5,PCR,2,8,2,FatP6.1,,,,
RA2885,H5,PCR,2,8,2,FatP6.1,,,,
RA2886,A6,PCR,2,8,2,FatP6.1,,,,
RA2887,B6,PCR,2,8,2,FatP6.1,,,,
RA2888,C6,PCR,2,8,2,FatP6.1,,,,
RA2889,D6,PCR,2,8,2,FatP6.1,,,,
RA2890,E6,PCR,2,8,2,FatP6.1,,,,
RA2891,F6,PCR,2,8,2,FatP6.1,,,,
RA2892,G6,PCR,2,8,2,FatP6.1,,,,
RA2893,H6,PCR,2,8,2,FatP6.1,,,,
RA2894,A7,PCR,2,8,2,FatP6.1,,,,
